DATE,BAKEL,BAMBEY,BIGNONA,BIRKELANE,BOUNKILING,DAGANA,DAKAR,DIOURBEL,FATICK,FOUNDIOUGNE,GOSSAS,GOUDIRY,GOUDOMP,GUÉDIAWAYE,GUINGUINEO,KAFFRINE,KANEL,KAOLACK,KÉBÉMER,KÉDOUGOU,KOLDA,KOUMPENTOUM,KOUNGHEUL,LINGUÈRE,LOUGA,MALEM HODAR,MATAM,MBACKÉ,MBOUR,MEDINA YORO FOULA,NIORO DU RIP,OUSSOUYE,PIKINE,PODOR,RANÉROU,RUFISQUE,SAINT LOUIS,SALEMATA,SARAYA,SÉDHIOU,TAMBACOUNDA,THIÈS,TIVAOUANE,VÉLINGARA,ZIGUINCHOR
2020-05-25,0,0,0,0,0,0,369,0,106,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,,0,0,0,0,0,93,8,166,21,32,0
2020-05-26,0,0,0,0,0,0,369,0,106,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-05-27,0,0,0,0,0,0,369,0,106,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-05-28,0,0,0,0,0,0,369,0,106,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-05-29,0,0,0,0,0,0,369,0,106,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-05-30,0,0,0,0,0,0,369,0,106,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-05-31,0,0,0,0,0,0,369,0,106,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-06-01,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-06-02,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-06-03,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,25,37,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,8,166,21,32,0
2020-06-04,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-05,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-06,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-08,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-09,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-10,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,369,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,1103,238,238,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,166,166,21,21,32,32,0,0
2020-06-12,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-13,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-14,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-15,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-16,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
2020-06-17,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1103,238,0,63,0,0,0,0,0,0,0,0,93,0,166,21,32,0
