district,cas,lat,lon
Louga,1,15.6173263,-16.255818
Saint-Louis,2,16.0200352,-16.4933187
Ziguinchor,1,12.5598984,-16.3092032
Touba,34,14.8676422,-15.9178224
Mbour,4,14.416536,-16.9872109
Thiès,9,14.7886451,-16.9622885
Keur Massar,2,14.7863883,-17.3206958
Diamniadio,1,14.7202301,-17.1848273
Rufisque,9,14.7155603,-17.2796838
Pikine,12,14.7552617,-17.4044798
Thiaroye Gare,1,14.7573391,-17.3782683
Yeumbeul Sud,2,14.7722048,-17.3668812
Mbao,5,14.7298517,-17.3301944
Médina,3,14.682872,-17.4545829
Geule Tapé,1,14.682904,-17.4598697
Fass,1,14.6908265,-17.4570883
Colobane,2,14.6954393,-17.4470818
Plateau,1,14.660969, -17.437154
Golf Sud,1,14.7753571,-17.417768
Wakhinane Nimzatt,1,14.7869623,-17.3788744
Ndiarème Limamoulaye,1,14.7720914,-17.3787904
Yoff,1,14.7460068,-17.4951018
Mermoz,1,14.7074581,-17.4829161
Parcelles Assainies,2,14.7598766,-17.4505115
Pikine Ouest,1,14.7563423,-17.4240377
Dieuppeul,1,14.7209432,-17.4555467
Derklé,2,14.725885,-17.4501812
Hann Bel-Air,1,14.705619,-17.4374607
Soprim,1,14.750303,-17.4380298
Niary Tally,2,14.7072737,-17.4539059
Niayes-Thioker,1,14.6831562,-17.4464822
Mbacké,5,14.7998188,-15.9241886
Nioro,1,13.7453334,-15.7826688
Pout,1,14.7699723,-17.0708089
Tivaoune,1,14.95005,-16.8235338
Guédiawaye,2,14.7687671,-17.4184561
Sangalkham,3,14.7789933,-17.
Tambacounda,1,13.770897,-13.6778869
Grand Médina,1,14.7475649,-17.4487115
Sédhiou,1,12.704524,-15.5773475
Patte d'Oie,1,14.7494323,-17.4476755
Maristes,1,14.7275717,-17.4389359
Castor,1,14.7245795,-17.4532336
Darou Miname,1,14.8545176,-15.9076447
